metric_id,family,primary_or_diagnostic,applicable_tracks,applicable_query_forms,requires_execution,requires_graph,requires_gold_query,requires_gold_answers,requires_linker_output,canonicalization_profile,failure_denominator,aggregation,statistical_contract,implementation_status,runtime_status,claim_boundary,evidence
answer_precision,answer,primary,IA_Q_ONLY;IA_SCHEMA_COMMON;IA_ORACLE_GROUNDING;IA_FIXED_EXTERNAL_GROUNDING;IA_DOMAIN_NATIVE,SELECT_ROWSET;SELECT_AGGREGATE;ASK_BOOLEAN,true,true,false,true,false,RDF_TERM_V1+SPARQL_V1_CONS,ELIGIBLE_GLOBAL_failures_included,macro_per_item,bootstrap_or_wilson,METRIC_IMPLEMENTATION_PENDING,RUNTIME_G5_NOT_VERIFIED,cross_track_ranking,docs/protocols/common/metrics/20260722T093257Z/
answer_recall,answer,primary,IA_Q_ONLY;IA_SCHEMA_COMMON;IA_ORACLE_GROUNDING;IA_FIXED_EXTERNAL_GROUNDING;IA_DOMAIN_NATIVE,SELECT_ROWSET;SELECT_AGGREGATE;ASK_BOOLEAN,true,true,false,true,false,RDF_TERM_V1+SPARQL_V1_CONS,ELIGIBLE_GLOBAL_failures_included,macro_per_item,bootstrap_or_wilson,METRIC_IMPLEMENTATION_PENDING,RUNTIME_G5_NOT_VERIFIED,cross_track_ranking,docs/protocols/common/metrics/20260722T093257Z/
answer_f1,answer,primary,IA_Q_ONLY;IA_SCHEMA_COMMON;IA_ORACLE_GROUNDING;IA_FIXED_EXTERNAL_GROUNDING;IA_DOMAIN_NATIVE,SELECT_ROWSET;SELECT_AGGREGATE;ASK_BOOLEAN,true,true,false,true,false,RDF_TERM_V1+SPARQL_V1_CONS,ELIGIBLE_GLOBAL_failures_included,macro_per_item,paired_item_bootstrap_CI95,METRIC_IMPLEMENTATION_PENDING,RUNTIME_G5_NOT_VERIFIED,cross_track_ranking,docs/protocols/common/metrics/20260722T093257Z/
execution_exact_accuracy,answer,primary,IA_Q_ONLY;IA_SCHEMA_COMMON;IA_ORACLE_GROUNDING;IA_FIXED_EXTERNAL_GROUNDING;IA_DOMAIN_NATIVE,SELECT_ROWSET;SELECT_AGGREGATE;ASK_BOOLEAN,true,true,false,true,false,RDF_TERM_V1+SPARQL_V1_CONS,ELIGIBLE_GLOBAL_failures_included,item_proportion,wilson_CI95,METRIC_IMPLEMENTATION_PENDING,RUNTIME_G5_NOT_VERIFIED,cross_track_ranking,docs/protocols/common/metrics/20260722T093257Z/
generation_success_rate,validity,diagnostic,IA_Q_ONLY;IA_SCHEMA_COMMON;IA_ORACLE_GROUNDING;IA_FIXED_EXTERNAL_GROUNDING;IA_DOMAIN_NATIVE,SELECT_ROWSET;SELECT_AGGREGATE;ASK_BOOLEAN;UNKNOWN_FORM,false,false,false,false,false,n_a_or_partial,ELIGIBLE_GLOBAL_failures_included,item_proportion,wilson_CI95,METRIC_IMPLEMENTATION_PENDING,RUNTIME_G5_NOT_VERIFIED,cross_track_ranking,docs/protocols/common/metrics/20260722T093257Z/
syntax_validity_rate,validity,diagnostic,IA_Q_ONLY;IA_SCHEMA_COMMON;IA_ORACLE_GROUNDING;IA_FIXED_EXTERNAL_GROUNDING;IA_DOMAIN_NATIVE,SELECT_ROWSET;SELECT_AGGREGATE;ASK_BOOLEAN;UNKNOWN_FORM,false,false,false,false,false,n_a_or_partial,ELIGIBLE_GLOBAL_failures_included,item_proportion,wilson_CI95,METRIC_IMPLEMENTATION_PENDING,RUNTIME_G5_NOT_VERIFIED,cross_track_ranking,docs/protocols/common/metrics/20260722T093257Z/
safe_query_rate,validity,diagnostic,IA_Q_ONLY;IA_SCHEMA_COMMON;IA_ORACLE_GROUNDING;IA_FIXED_EXTERNAL_GROUNDING;IA_DOMAIN_NATIVE,SELECT_ROWSET;SELECT_AGGREGATE;ASK_BOOLEAN;UNKNOWN_FORM,false,false,false,false,false,n_a_or_partial,ELIGIBLE_GLOBAL_failures_included,item_proportion,wilson_CI95,METRIC_IMPLEMENTATION_PENDING,RUNTIME_G5_NOT_VERIFIED,cross_track_ranking,docs/protocols/common/metrics/20260722T093257Z/
executable_query_rate,validity,diagnostic,IA_Q_ONLY;IA_SCHEMA_COMMON;IA_ORACLE_GROUNDING;IA_FIXED_EXTERNAL_GROUNDING;IA_DOMAIN_NATIVE,SELECT_ROWSET;SELECT_AGGREGATE;ASK_BOOLEAN;UNKNOWN_FORM,true,false,false,false,false,n_a_or_partial,ELIGIBLE_GLOBAL_failures_included,item_proportion,wilson_CI95,METRIC_IMPLEMENTATION_PENDING,RUNTIME_G5_NOT_VERIFIED,cross_track_ranking,docs/protocols/common/metrics/20260722T093257Z/
abstention_rate,validity,diagnostic,IA_Q_ONLY;IA_SCHEMA_COMMON;IA_ORACLE_GROUNDING;IA_FIXED_EXTERNAL_GROUNDING;IA_DOMAIN_NATIVE,SELECT_ROWSET;SELECT_AGGREGATE;ASK_BOOLEAN;UNKNOWN_FORM,false,false,false,false,false,n_a_or_partial,ELIGIBLE_GLOBAL_failures_included,item_proportion,wilson_CI95,METRIC_IMPLEMENTATION_PENDING,RUNTIME_G5_NOT_VERIFIED,cross_track_ranking,docs/protocols/common/metrics/20260722T093257Z/
timeout_rate,validity,diagnostic,IA_Q_ONLY;IA_SCHEMA_COMMON;IA_ORACLE_GROUNDING;IA_FIXED_EXTERNAL_GROUNDING;IA_DOMAIN_NATIVE,SELECT_ROWSET;SELECT_AGGREGATE;ASK_BOOLEAN;UNKNOWN_FORM,false,false,false,false,false,n_a_or_partial,ELIGIBLE_GLOBAL_failures_included,item_proportion,wilson_CI95,METRIC_IMPLEMENTATION_PENDING,RUNTIME_G5_NOT_VERIFIED,cross_track_ranking,docs/protocols/common/metrics/20260722T093257Z/
no_output_rate,validity,diagnostic,IA_Q_ONLY;IA_SCHEMA_COMMON;IA_ORACLE_GROUNDING;IA_FIXED_EXTERNAL_GROUNDING;IA_DOMAIN_NATIVE,SELECT_ROWSET;SELECT_AGGREGATE;ASK_BOOLEAN;UNKNOWN_FORM,false,false,false,false,false,n_a_or_partial,ELIGIBLE_GLOBAL_failures_included,item_proportion,wilson_CI95,METRIC_IMPLEMENTATION_PENDING,RUNTIME_G5_NOT_VERIFIED,cross_track_ranking,docs/protocols/common/metrics/20260722T093257Z/
execution_error_rate,validity,diagnostic,IA_Q_ONLY;IA_SCHEMA_COMMON;IA_ORACLE_GROUNDING;IA_FIXED_EXTERNAL_GROUNDING;IA_DOMAIN_NATIVE,SELECT_ROWSET;SELECT_AGGREGATE;ASK_BOOLEAN;UNKNOWN_FORM,false,false,false,false,false,n_a_or_partial,ELIGIBLE_GLOBAL_failures_included,item_proportion,wilson_CI95,METRIC_IMPLEMENTATION_PENDING,RUNTIME_G5_NOT_VERIFIED,cross_track_ranking,docs/protocols/common/metrics/20260722T093257Z/
valid_empty_result_rate,validity,diagnostic,IA_Q_ONLY;IA_SCHEMA_COMMON;IA_ORACLE_GROUNDING;IA_FIXED_EXTERNAL_GROUNDING;IA_DOMAIN_NATIVE,SELECT_ROWSET;SELECT_AGGREGATE;ASK_BOOLEAN;UNKNOWN_FORM,true,false,false,false,false,n_a_or_partial,ELIGIBLE_GLOBAL_failures_included,item_proportion,wilson_CI95,METRIC_IMPLEMENTATION_PENDING,RUNTIME_G5_NOT_VERIFIED,cross_track_ranking,docs/protocols/common/metrics/20260722T093257Z/
nonempty_result_rate,validity,diagnostic,IA_Q_ONLY;IA_SCHEMA_COMMON;IA_ORACLE_GROUNDING;IA_FIXED_EXTERNAL_GROUNDING;IA_DOMAIN_NATIVE,SELECT_ROWSET;SELECT_AGGREGATE;ASK_BOOLEAN;UNKNOWN_FORM,true,false,false,false,false,n_a_or_partial,ELIGIBLE_GLOBAL_failures_included,item_proportion,wilson_CI95,METRIC_IMPLEMENTATION_PENDING,RUNTIME_G5_NOT_VERIFIED,cross_track_ranking,docs/protocols/common/metrics/20260722T093257Z/
raw_string_exact_match,query_structure,diagnostic,IA_Q_ONLY;IA_SCHEMA_COMMON;IA_ORACLE_GROUNDING;IA_FIXED_EXTERNAL_GROUNDING;IA_DOMAIN_NATIVE,SELECT_ROWSET;SELECT_AGGREGATE;ASK_BOOLEAN,false,false,true,false,false,RDF_TERM_V1+SPARQL_V1_CONS,ELIGIBLE_GLOBAL_failures_included,macro_per_item,bootstrap_or_wilson,METRIC_IMPLEMENTATION_PENDING,RUNTIME_G5_NOT_VERIFIED,substitute_for_answer_f1,docs/protocols/common/metrics/20260722T093257Z/
normalized_query_exact_match,query_structure,diagnostic,IA_Q_ONLY;IA_SCHEMA_COMMON;IA_ORACLE_GROUNDING;IA_FIXED_EXTERNAL_GROUNDING;IA_DOMAIN_NATIVE,SELECT_ROWSET;SELECT_AGGREGATE;ASK_BOOLEAN,false,false,true,false,false,RDF_TERM_V1+SPARQL_V1_CONS,ELIGIBLE_GLOBAL_failures_included,macro_per_item,bootstrap_or_wilson,METRIC_IMPLEMENTATION_PENDING,RUNTIME_G5_NOT_VERIFIED,substitute_for_answer_f1,docs/protocols/common/metrics/20260722T093257Z/
query_form_match,query_structure,diagnostic,IA_Q_ONLY;IA_SCHEMA_COMMON;IA_ORACLE_GROUNDING;IA_FIXED_EXTERNAL_GROUNDING;IA_DOMAIN_NATIVE,SELECT_ROWSET;SELECT_AGGREGATE;ASK_BOOLEAN,false,false,true,false,false,RDF_TERM_V1+SPARQL_V1_CONS,ELIGIBLE_GLOBAL_failures_included,macro_per_item,bootstrap_or_wilson,METRIC_IMPLEMENTATION_PENDING,RUNTIME_G5_NOT_VERIFIED,substitute_for_answer_f1,docs/protocols/common/metrics/20260722T093257Z/
projection_arity_match,query_structure,diagnostic,IA_Q_ONLY;IA_SCHEMA_COMMON;IA_ORACLE_GROUNDING;IA_FIXED_EXTERNAL_GROUNDING;IA_DOMAIN_NATIVE,SELECT_ROWSET;SELECT_AGGREGATE;ASK_BOOLEAN,false,false,true,false,false,RDF_TERM_V1+SPARQL_V1_CONS,ELIGIBLE_GLOBAL_failures_included,macro_per_item,bootstrap_or_wilson,METRIC_IMPLEMENTATION_PENDING,RUNTIME_G5_NOT_VERIFIED,substitute_for_answer_f1,docs/protocols/common/metrics/20260722T093257Z/
triple_pattern_precision,query_structure,diagnostic,IA_Q_ONLY;IA_SCHEMA_COMMON;IA_ORACLE_GROUNDING;IA_FIXED_EXTERNAL_GROUNDING;IA_DOMAIN_NATIVE,SELECT_ROWSET;SELECT_AGGREGATE;ASK_BOOLEAN,false,false,true,false,false,RDF_TERM_V1+SPARQL_V1_CONS,ELIGIBLE_GLOBAL_failures_included,macro_per_item,bootstrap_or_wilson,METRIC_IMPLEMENTATION_PENDING,RUNTIME_G5_NOT_VERIFIED,substitute_for_answer_f1,docs/protocols/common/metrics/20260722T093257Z/
triple_pattern_recall,query_structure,diagnostic,IA_Q_ONLY;IA_SCHEMA_COMMON;IA_ORACLE_GROUNDING;IA_FIXED_EXTERNAL_GROUNDING;IA_DOMAIN_NATIVE,SELECT_ROWSET;SELECT_AGGREGATE;ASK_BOOLEAN,false,false,true,false,false,RDF_TERM_V1+SPARQL_V1_CONS,ELIGIBLE_GLOBAL_failures_included,macro_per_item,bootstrap_or_wilson,METRIC_IMPLEMENTATION_PENDING,RUNTIME_G5_NOT_VERIFIED,substitute_for_answer_f1,docs/protocols/common/metrics/20260722T093257Z/
triple_pattern_f1,query_structure,diagnostic,IA_Q_ONLY;IA_SCHEMA_COMMON;IA_ORACLE_GROUNDING;IA_FIXED_EXTERNAL_GROUNDING;IA_DOMAIN_NATIVE,SELECT_ROWSET;SELECT_AGGREGATE;ASK_BOOLEAN,false,false,true,false,false,RDF_TERM_V1+SPARQL_V1_CONS,ELIGIBLE_GLOBAL_failures_included,macro_per_item,bootstrap_or_wilson,METRIC_IMPLEMENTATION_PENDING,RUNTIME_G5_NOT_VERIFIED,substitute_for_answer_f1,docs/protocols/common/metrics/20260722T093257Z/
filter_structure_match,query_structure,diagnostic,IA_Q_ONLY;IA_SCHEMA_COMMON;IA_ORACLE_GROUNDING;IA_FIXED_EXTERNAL_GROUNDING;IA_DOMAIN_NATIVE,SELECT_ROWSET;SELECT_AGGREGATE;ASK_BOOLEAN,false,false,true,false,false,RDF_TERM_V1+SPARQL_V1_CONS,ELIGIBLE_GLOBAL_failures_included,macro_per_item,bootstrap_or_wilson,METRIC_IMPLEMENTATION_PENDING,RUNTIME_G5_NOT_VERIFIED,substitute_for_answer_f1,docs/protocols/common/metrics/20260722T093257Z/
aggregation_structure_match,query_structure,diagnostic,IA_Q_ONLY;IA_SCHEMA_COMMON;IA_ORACLE_GROUNDING;IA_FIXED_EXTERNAL_GROUNDING;IA_DOMAIN_NATIVE,SELECT_ROWSET;SELECT_AGGREGATE;ASK_BOOLEAN,false,false,true,false,false,RDF_TERM_V1+SPARQL_V1_CONS,ELIGIBLE_GLOBAL_failures_included,macro_per_item,bootstrap_or_wilson,METRIC_IMPLEMENTATION_PENDING,RUNTIME_G5_NOT_VERIFIED,substitute_for_answer_f1,docs/protocols/common/metrics/20260722T093257Z/
modifier_structure_match,query_structure,diagnostic,IA_Q_ONLY;IA_SCHEMA_COMMON;IA_ORACLE_GROUNDING;IA_FIXED_EXTERNAL_GROUNDING;IA_DOMAIN_NATIVE,SELECT_ROWSET;SELECT_AGGREGATE;ASK_BOOLEAN,false,false,true,false,false,RDF_TERM_V1+SPARQL_V1_CONS,ELIGIBLE_GLOBAL_failures_included,macro_per_item,bootstrap_or_wilson,METRIC_IMPLEMENTATION_PENDING,RUNTIME_G5_NOT_VERIFIED,substitute_for_answer_f1,docs/protocols/common/metrics/20260722T093257Z/
property_path_structure_match,query_structure,diagnostic,IA_Q_ONLY;IA_SCHEMA_COMMON;IA_ORACLE_GROUNDING;IA_FIXED_EXTERNAL_GROUNDING;IA_DOMAIN_NATIVE,SELECT_ROWSET;SELECT_AGGREGATE;ASK_BOOLEAN,false,false,true,false,false,RDF_TERM_V1+SPARQL_V1_CONS,ELIGIBLE_GLOBAL_failures_included,macro_per_item,bootstrap_or_wilson,METRIC_IMPLEMENTATION_PENDING,RUNTIME_G5_NOT_VERIFIED,substitute_for_answer_f1,docs/protocols/common/metrics/20260722T093257Z/
query_grounding_constant_precision,query_structure,diagnostic,IA_Q_ONLY;IA_SCHEMA_COMMON;IA_ORACLE_GROUNDING;IA_FIXED_EXTERNAL_GROUNDING;IA_DOMAIN_NATIVE,SELECT_ROWSET;SELECT_AGGREGATE;ASK_BOOLEAN,false,false,true,false,false,RDF_TERM_V1+SPARQL_V1_CONS,ELIGIBLE_GLOBAL_failures_included,macro_per_item,bootstrap_or_wilson,METRIC_IMPLEMENTATION_PENDING,RUNTIME_G5_NOT_VERIFIED,substitute_for_answer_f1,docs/protocols/common/metrics/20260722T093257Z/
query_grounding_constant_recall,query_structure,diagnostic,IA_Q_ONLY;IA_SCHEMA_COMMON;IA_ORACLE_GROUNDING;IA_FIXED_EXTERNAL_GROUNDING;IA_DOMAIN_NATIVE,SELECT_ROWSET;SELECT_AGGREGATE;ASK_BOOLEAN,false,false,true,false,false,RDF_TERM_V1+SPARQL_V1_CONS,ELIGIBLE_GLOBAL_failures_included,macro_per_item,bootstrap_or_wilson,METRIC_IMPLEMENTATION_PENDING,RUNTIME_G5_NOT_VERIFIED,substitute_for_answer_f1,docs/protocols/common/metrics/20260722T093257Z/
query_grounding_constant_f1,query_structure,diagnostic,IA_Q_ONLY;IA_SCHEMA_COMMON;IA_ORACLE_GROUNDING;IA_FIXED_EXTERNAL_GROUNDING;IA_DOMAIN_NATIVE,SELECT_ROWSET;SELECT_AGGREGATE;ASK_BOOLEAN,false,false,true,false,false,RDF_TERM_V1+SPARQL_V1_CONS,ELIGIBLE_GLOBAL_failures_included,macro_per_item,bootstrap_or_wilson,METRIC_IMPLEMENTATION_PENDING,RUNTIME_G5_NOT_VERIFIED,substitute_for_answer_f1,docs/protocols/common/metrics/20260722T093257Z/
hallucinated_iri_rate,iri,diagnostic,IA_Q_ONLY;IA_SCHEMA_COMMON;IA_ORACLE_GROUNDING;IA_FIXED_EXTERNAL_GROUNDING;IA_DOMAIN_NATIVE,SELECT_ROWSET;SELECT_AGGREGATE;ASK_BOOLEAN,false,true,false,false,false,n_a_or_partial,ELIGIBLE_GLOBAL_failures_included,macro_per_item,bootstrap_or_wilson,METRIC_IMPLEMENTATION_PENDING,RUNTIME_G5_NOT_VERIFIED,gold_query_as_only_universe,docs/protocols/common/metrics/20260722T093257Z/
entity_linking_f1,linking,diagnostic,IA_ORACLE_GROUNDING;IA_FIXED_EXTERNAL_GROUNDING,SELECT_ROWSET;SELECT_AGGREGATE;ASK_BOOLEAN,false,false,true,false,true,n_a_or_partial,ELIGIBLE_GLOBAL_failures_included,macro_per_item,bootstrap_or_wilson,METRIC_IMPLEMENTATION_PENDING,RUNTIME_G5_NOT_VERIFIED,inferred_from_final_query,docs/protocols/common/metrics/20260722T093257Z/
relation_linking_f1,linking,diagnostic,IA_ORACLE_GROUNDING;IA_FIXED_EXTERNAL_GROUNDING,SELECT_ROWSET;SELECT_AGGREGATE;ASK_BOOLEAN,false,false,true,false,true,n_a_or_partial,ELIGIBLE_GLOBAL_failures_included,macro_per_item,bootstrap_or_wilson,METRIC_IMPLEMENTATION_PENDING,RUNTIME_G5_NOT_VERIFIED,inferred_from_final_query,docs/protocols/common/metrics/20260722T093257Z/
oracle_coverage,oracle,diagnostic,IA_ORACLE_GROUNDING,SELECT_ROWSET;SELECT_AGGREGATE;ASK_BOOLEAN,false,false,true,false,false,n_a_or_partial,ELIGIBLE_GLOBAL_failures_included,macro_per_item,bootstrap_or_wilson,METRIC_IMPLEMENTATION_PENDING,RUNTIME_G5_NOT_VERIFIED,cross_track_ranking,docs/protocols/common/metrics/20260722T093257Z/
oracle_consumption,oracle,diagnostic,IA_ORACLE_GROUNDING,SELECT_ROWSET;SELECT_AGGREGATE;ASK_BOOLEAN,false,false,true,false,false,n_a_or_partial,ELIGIBLE_GLOBAL_failures_included,macro_per_item,bootstrap_or_wilson,METRIC_IMPLEMENTATION_PENDING,RUNTIME_G5_NOT_VERIFIED,cross_track_ranking,docs/protocols/common/metrics/20260722T093257Z/
total_latency_ms,operational,diagnostic,IA_Q_ONLY;IA_SCHEMA_COMMON;IA_ORACLE_GROUNDING;IA_FIXED_EXTERNAL_GROUNDING;IA_DOMAIN_NATIVE,ALL,false,false,false,false,false,n_a_or_partial,ELIGIBLE_GLOBAL_failures_included,median_p90_p95,percentile_bootstrap,METRIC_IMPLEMENTATION_PENDING,RUNTIME_G5_NOT_VERIFIED,quality_proxy,docs/protocols/common/metrics/20260722T093257Z/
estimated_cost_usd,operational,diagnostic,IA_Q_ONLY;IA_SCHEMA_COMMON;IA_ORACLE_GROUNDING;IA_FIXED_EXTERNAL_GROUNDING;IA_DOMAIN_NATIVE,ALL,false,false,false,false,false,n_a_or_partial,ELIGIBLE_GLOBAL_failures_included,median_p90_p95,percentile_bootstrap,METRIC_IMPLEMENTATION_PENDING,RUNTIME_G5_NOT_VERIFIED,quality_proxy,docs/protocols/common/metrics/20260722T093257Z/
llm_calls,operational,diagnostic,IA_Q_ONLY;IA_SCHEMA_COMMON;IA_ORACLE_GROUNDING;IA_FIXED_EXTERNAL_GROUNDING;IA_DOMAIN_NATIVE,ALL,false,false,false,false,false,n_a_or_partial,ELIGIBLE_GLOBAL_failures_included,median_p90_p95,percentile_bootstrap,METRIC_IMPLEMENTATION_PENDING,RUNTIME_G5_NOT_VERIFIED,quality_proxy,docs/protocols/common/metrics/20260722T093257Z/
endpoint_calls,operational,diagnostic,IA_Q_ONLY;IA_SCHEMA_COMMON;IA_ORACLE_GROUNDING;IA_FIXED_EXTERNAL_GROUNDING;IA_DOMAIN_NATIVE,ALL,false,false,false,false,false,n_a_or_partial,ELIGIBLE_GLOBAL_failures_included,median_p90_p95,percentile_bootstrap,METRIC_IMPLEMENTATION_PENDING,RUNTIME_G5_NOT_VERIFIED,quality_proxy,docs/protocols/common/metrics/20260722T093257Z/
