family,config,config_relpath,step1_n_txt,step2_n_txt,step3_has_summary,step3_has_results,step4_has_success_ids,summary_model,total_queries,success_count,fail_count,null_count,success_pct,fail_pct,null_pct,notes,evidence
vanilla,llama-3-8b-Instruct_round1,vanilla/llama-3-8b-Instruct_round1,513,513,1,0,1,llama-3-8b-Instruct_round1,513,0,513,0,0.0,1.0,0.0,,RESULT_FILE_VERIFIED
vanilla,llama-3-8b-Instruct_round2,vanilla/llama-3-8b-Instruct_round2,513,513,1,0,1,llama-3-8b-Instruct_round2,513,0,512,1,0.0,1.0,0.0,,RESULT_FILE_VERIFIED
vanilla,llama-3-8b-Instruct_round3,vanilla/llama-3-8b-Instruct_round3,513,513,1,0,1,llama-3-8b-Instruct_round3,513,0,513,0,0.0,1.0,0.0,,RESULT_FILE_VERIFIED
vanilla,llama-3.2-3b-Instruct_round1,vanilla/llama-3.2-3b-Instruct_round1,513,513,1,0,1,llama-3.2-3b-Instruct_round1,513,3,507,3,0.01,0.99,0.01,,RESULT_FILE_VERIFIED
vanilla,llama-3.2-3b-Instruct_round2,vanilla/llama-3.2-3b-Instruct_round2,513,513,1,0,1,llama-3.2-3b-Instruct_round2,513,7,497,9,0.01,0.97,0.02,,RESULT_FILE_VERIFIED
vanilla,llama-3.2-3b-Instruct_round3,vanilla/llama-3.2-3b-Instruct_round3,513,513,1,0,1,llama-3.2-3b-Instruct_round3,513,6,497,10,0.01,0.97,0.02,,RESULT_FILE_VERIFIED
one_shot,llama-3-8b-Instruct_round1,one_shot/llama-3-8b-Instruct_round1,513,513,1,1,1,llama-3-8b-Instruct,513,161,207,145,0.31,0.4,0.28,,RESULT_FILE_VERIFIED
one_shot,llama-3-8b-Instruct_round2,one_shot/llama-3-8b-Instruct_round2,513,513,1,1,1,llama-3-8b-Instruct,513,161,207,145,0.31,0.4,0.28,,RESULT_FILE_VERIFIED
one_shot,llama-3-8b-Instruct_round3,one_shot/llama-3-8b-Instruct_round3,513,513,1,1,1,llama-3-8b-Instruct,513,161,207,145,0.31,0.4,0.28,,RESULT_FILE_VERIFIED
one_shot,llama-3.2-3b-Instruct_round1,one_shot/llama-3.2-3b-Instruct_round1,513,513,1,1,1,llama-3.2-3b-Instruct,513,261,75,177,0.51,0.15,0.35,,RESULT_FILE_VERIFIED
one_shot,llama-3.2-3b-Instruct_round2,one_shot/llama-3.2-3b-Instruct_round2,513,513,1,1,1,llama-3.2-3b-Instruct,513,261,75,177,0.51,0.15,0.35,,RESULT_FILE_VERIFIED
one_shot,llama-3.2-3b-Instruct_round3,one_shot/llama-3.2-3b-Instruct_round3,513,513,1,1,1,llama-3.2-3b-Instruct,513,261,75,177,0.51,0.15,0.35,,RESULT_FILE_VERIFIED
ft,llama3.2_3b_lora_sft_10epochs_round1,ft/llama3.2_3b_lora_sft_10epochs_round1,513,513,1,0,1,llama3.2_3b_lora_sft_10epochs_round1,513,159,135,219,0.31,0.26,0.43,,RESULT_FILE_VERIFIED
ft,llama3.2_3b_lora_sft_10epochs_round2,ft/llama3.2_3b_lora_sft_10epochs_round2,513,513,1,0,1,llama3.2_3b_lora_sft_10epochs_round2,513,157,145,211,0.31,0.28,0.41,,RESULT_FILE_VERIFIED
ft,llama3.2_3b_lora_sft_10epochs_round3,ft/llama3.2_3b_lora_sft_10epochs_round3,513,513,1,0,1,llama3.2_3b_lora_sft_10epochs_round3,513,168,122,223,0.33,0.24,0.43,,RESULT_FILE_VERIFIED
ft,llama3.2_3b_lora_sft_15epochs_round1,ft/llama3.2_3b_lora_sft_15epochs_round1,513,513,1,0,1,llama3.2_3b_lora_sft_15epochs_round1,513,238,100,175,0.46,0.19,0.34,,RESULT_FILE_VERIFIED
ft,llama3.2_3b_lora_sft_15epochs_round2,ft/llama3.2_3b_lora_sft_15epochs_round2,513,513,1,0,1,llama3.2_3b_lora_sft_15epochs_round2,513,225,103,185,0.44,0.2,0.36,,RESULT_FILE_VERIFIED
ft,llama3.2_3b_lora_sft_15epochs_round3,ft/llama3.2_3b_lora_sft_15epochs_round3,513,513,1,0,1,llama3.2_3b_lora_sft_15epochs_round3,513,231,104,178,0.45,0.2,0.35,,RESULT_FILE_VERIFIED
ft,llama3.2_3b_lora_sft_20epochs_round1,ft/llama3.2_3b_lora_sft_20epochs_round1,513,513,1,0,1,llama3.2_3b_lora_sft_20epochs_round1,513,348,55,110,0.68,0.11,0.21,,RESULT_FILE_VERIFIED
ft,llama3.2_3b_lora_sft_20epochs_round2,ft/llama3.2_3b_lora_sft_20epochs_round2,513,513,1,0,1,llama3.2_3b_lora_sft_20epochs_round2,513,340,58,115,0.66,0.11,0.22,,RESULT_FILE_VERIFIED
ft,llama3.2_3b_lora_sft_20epochs_round3,ft/llama3.2_3b_lora_sft_20epochs_round3,513,513,1,0,1,llama3.2_3b_lora_sft_20epochs_round3,513,345,58,110,0.67,0.11,0.21,,RESULT_FILE_VERIFIED
ft,llama3.2_3b_lora_sft_3epochs_round1,ft/llama3.2_3b_lora_sft_3epochs_round1,513,513,1,0,1,llama3.2_3b_lora_sft_3epochs_round1,513,315,90,108,0.61,0.18,0.21,,RESULT_FILE_VERIFIED
ft,llama3.2_3b_lora_sft_3epochs_round2,ft/llama3.2_3b_lora_sft_3epochs_round2,513,513,1,0,1,llama3.2_3b_lora_sft_3epochs_round2,513,300,91,122,0.58,0.18,0.24,,RESULT_FILE_VERIFIED
ft,llama3.2_3b_lora_sft_3epochs_round3,ft/llama3.2_3b_lora_sft_3epochs_round3,513,513,1,0,1,llama3.2_3b_lora_sft_3epochs_round3,513,313,95,105,0.61,0.19,0.2,,RESULT_FILE_VERIFIED
ft,llama3.2_3b_lora_sft_5epochs_round1,ft/llama3.2_3b_lora_sft_5epochs_round1,513,513,1,0,1,llama3.2_3b_lora_sft_5epochs_round1,513,257,91,165,0.5,0.18,0.32,,RESULT_FILE_VERIFIED
ft,llama3.2_3b_lora_sft_5epochs_round2,ft/llama3.2_3b_lora_sft_5epochs_round2,513,513,1,0,1,llama3.2_3b_lora_sft_5epochs_round2,513,261,103,149,0.51,0.2,0.29,,RESULT_FILE_VERIFIED
ft,llama3.2_3b_lora_sft_5epochs_round3,ft/llama3.2_3b_lora_sft_5epochs_round3,513,513,1,0,1,llama3.2_3b_lora_sft_5epochs_round3,513,258,91,164,0.5,0.18,0.32,,RESULT_FILE_VERIFIED
ft,llama3.2_3b_lora_sft_7epochs_round1,ft/llama3.2_3b_lora_sft_7epochs_round1,513,513,1,0,1,llama3.2_3b_lora_sft_7epochs_round1,513,186,124,203,0.36,0.24,0.4,,RESULT_FILE_VERIFIED
ft,llama3.2_3b_lora_sft_7epochs_round2,ft/llama3.2_3b_lora_sft_7epochs_round2,513,513,1,0,1,llama3.2_3b_lora_sft_7epochs_round2,513,164,115,234,0.32,0.22,0.46,,RESULT_FILE_VERIFIED
ft,llama3.2_3b_lora_sft_7epochs_round3,ft/llama3.2_3b_lora_sft_7epochs_round3,513,513,1,0,1,llama3.2_3b_lora_sft_7epochs_round3,513,169,119,225,0.33,0.23,0.44,,RESULT_FILE_VERIFIED
ft,llama3_8b_lora_sft_10epochs_round1,ft/llama3_8b_lora_sft_10epochs_round1,513,513,1,0,1,llama3_8b_lora_sft_10epochs_round1,513,377,77,59,0.73,0.15,0.12,,RESULT_FILE_VERIFIED
ft,llama3_8b_lora_sft_10epochs_round2,ft/llama3_8b_lora_sft_10epochs_round2,513,513,1,0,1,llama3_8b_lora_sft_10epochs_round2,513,378,79,56,0.74,0.15,0.11,,RESULT_FILE_VERIFIED
ft,llama3_8b_lora_sft_10epochs_round3,ft/llama3_8b_lora_sft_10epochs_round3,513,513,1,0,1,llama3_8b_lora_sft_10epochs_round3,513,372,82,59,0.73,0.16,0.12,,RESULT_FILE_VERIFIED
ft,llama3_8b_lora_sft_15epochs_round1,ft/llama3_8b_lora_sft_15epochs_round1,513,513,1,0,1,llama3_8b_lora_sft_15epochs_round1,513,448,14,51,0.87,0.03,0.1,,RESULT_FILE_VERIFIED
ft,llama3_8b_lora_sft_15epochs_round2,ft/llama3_8b_lora_sft_15epochs_round2,513,513,1,0,1,llama3_8b_lora_sft_15epochs_round2,513,448,18,47,0.87,0.04,0.09,,RESULT_FILE_VERIFIED
ft,llama3_8b_lora_sft_15epochs_round3,ft/llama3_8b_lora_sft_15epochs_round3,513,513,1,0,1,llama3_8b_lora_sft_15epochs_round3,513,450,15,48,0.88,0.03,0.09,,RESULT_FILE_VERIFIED
ft,llama3_8b_lora_sft_20epochs_round1,ft/llama3_8b_lora_sft_20epochs_round1,513,513,1,0,1,llama3_8b_lora_sft_20epochs_round1,513,431,35,47,0.84,0.07,0.09,,RESULT_FILE_VERIFIED
ft,llama3_8b_lora_sft_20epochs_round2,ft/llama3_8b_lora_sft_20epochs_round2,513,513,1,0,1,llama3_8b_lora_sft_20epochs_round2,513,428,34,51,0.83,0.07,0.1,,RESULT_FILE_VERIFIED
ft,llama3_8b_lora_sft_20epochs_round3,ft/llama3_8b_lora_sft_20epochs_round3,513,513,1,0,1,llama3_8b_lora_sft_20epochs_round3,513,428,32,53,0.83,0.06,0.1,,RESULT_FILE_VERIFIED
ft,llama3_8b_lora_sft_3epochs_round1,ft/llama3_8b_lora_sft_3epochs_round1,513,513,1,0,1,llama3_8b_lora_sft_3epochs_round1,513,407,61,45,0.79,0.12,0.09,,RESULT_FILE_VERIFIED
ft,llama3_8b_lora_sft_3epochs_round2,ft/llama3_8b_lora_sft_3epochs_round2,513,513,1,0,1,llama3_8b_lora_sft_3epochs_round2,513,410,49,54,0.8,0.1,0.11,,RESULT_FILE_VERIFIED
ft,llama3_8b_lora_sft_3epochs_round3,ft/llama3_8b_lora_sft_3epochs_round3,513,513,1,0,1,llama3_8b_lora_sft_3epochs_round3,513,411,51,51,0.8,0.1,0.1,,RESULT_FILE_VERIFIED
ft,llama3_8b_lora_sft_5epochs_round1,ft/llama3_8b_lora_sft_5epochs_round1,513,513,1,0,1,llama3_8b_lora_sft_5epochs_round1,513,377,86,50,0.73,0.17,0.1,,RESULT_FILE_VERIFIED
ft,llama3_8b_lora_sft_5epochs_round2,ft/llama3_8b_lora_sft_5epochs_round2,513,513,1,0,1,llama3_8b_lora_sft_5epochs_round2,513,386,82,45,0.75,0.16,0.09,,RESULT_FILE_VERIFIED
ft,llama3_8b_lora_sft_5epochs_round3,ft/llama3_8b_lora_sft_5epochs_round3,513,513,1,0,1,llama3_8b_lora_sft_5epochs_round3,513,381,83,49,0.74,0.16,0.1,,RESULT_FILE_VERIFIED
ft,llama3_8b_lora_sft_7epochs_round1,ft/llama3_8b_lora_sft_7epochs_round1,513,513,1,0,1,llama3_8b_lora_sft_7epochs_round1,513,370,89,54,0.72,0.17,0.11,,RESULT_FILE_VERIFIED
ft,llama3_8b_lora_sft_7epochs_round2,ft/llama3_8b_lora_sft_7epochs_round2,513,513,1,0,1,llama3_8b_lora_sft_7epochs_round2,513,369,93,51,0.72,0.18,0.1,,RESULT_FILE_VERIFIED
ft,llama3_8b_lora_sft_7epochs_round3,ft/llama3_8b_lora_sft_7epochs_round3,513,513,1,0,1,llama3_8b_lora_sft_7epochs_round3,513,373,88,52,0.73,0.17,0.1,,RESULT_FILE_VERIFIED
vanilla_rag,llama-3-8b-Instruct_round1,vanilla_rag/llama-3-8b-Instruct_round1,513,513,1,1,1,llama-3-8b-Instruct,513,0,509,4,0.0,0.99,0.01,,RESULT_FILE_VERIFIED
vanilla_rag,llama-3-8b-Instruct_round2,vanilla_rag/llama-3-8b-Instruct_round2,513,513,1,1,1,llama-3-8b-Instruct,513,0,509,4,0.0,0.99,0.01,,RESULT_FILE_VERIFIED
vanilla_rag,llama-3-8b-Instruct_round3,vanilla_rag/llama-3-8b-Instruct_round3,513,513,1,1,1,llama-3-8b-Instruct,513,0,509,4,0.0,0.99,0.01,,RESULT_FILE_VERIFIED
vanilla_rag,llama-3.2-3b-Instruct_round1,vanilla_rag/llama-3.2-3b-Instruct_round1,513,513,1,1,1,llama-3.2-3b-Instruct,513,1,512,0,0.0,1.0,0.0,,RESULT_FILE_VERIFIED
vanilla_rag,llama-3.2-3b-Instruct_round2,vanilla_rag/llama-3.2-3b-Instruct_round2,513,513,1,1,1,llama-3.2-3b-Instruct,513,1,512,0,0.0,1.0,0.0,,RESULT_FILE_VERIFIED
vanilla_rag,llama-3.2-3b-Instruct_round3,vanilla_rag/llama-3.2-3b-Instruct_round3,513,513,1,1,1,llama-3.2-3b-Instruct,513,1,512,0,0.0,1.0,0.0,,RESULT_FILE_VERIFIED
ft_rag,Llama-3.2-3B-Instruct-deepseekr1distll4rag,ft_rag/Llama-3.2-3B-Instruct-deepseekr1distll4rag,513,0,0,0,0,,,,,,,,,,RESULT_FILE_VERIFIED
ft_rag,ft_rag,ft_rag/ft_rag,0,0,0,0,0,,,,,,,,,,RESULT_FILE_VERIFIED
ft_rag,llama3.2-3b_mixtral-8x7b-32768,ft_rag/llama3.2-3b_mixtral-8x7b-32768,440,0,0,0,0,,,,,,,,,,RESULT_FILE_VERIFIED
ft_rag,llama3.2_3b_lora_sft_20epochs_prompt1,ft_rag/llama3.2_3b_lora_sft_20epochs_prompt1,513,513,1,1,0,llama3.2_3b_lora_sft_20epochs_deepseekr1,513,65,102,346,0.13,0.2,0.67,,RESULT_FILE_VERIFIED
ft_rag,llama3.2_3b_lora_sft_20epochs_prompt2,ft_rag/llama3.2_3b_lora_sft_20epochs_prompt2,513,513,1,1,0,llama3.2_3b_lora_sft_20epochs_deepseekr1,513,82,99,332,0.16,0.19,0.65,,RESULT_FILE_VERIFIED
ft_rag,prompt2,ft_rag/prompt2,0,0,0,0,0,,,,,,,,,,RESULT_FILE_VERIFIED
ft_rag,llama3.2_3b_lora_sft_20epochs_deepseekr1,ft_rag/llama3.2_3b_lora_sft_20epochs_deepseekr1,0,0,1,1,0,llama3.2_3b_lora_sft_20epochs_deepseekr1,513,65,102,346,0.13,0.2,0.67,step3_only_or_nested,RESULT_FILE_VERIFIED
ft_rag,llama3.2_3b_lora_sft_20epochs_deepseekr1_prompt1,ft_rag/llama3.2_3b_lora_sft_20epochs_deepseekr1_prompt1,0,0,1,1,0,llama3.2_3b_lora_sft_20epochs_deepseekr1,513,0,513,0,0.0,1.0,0.0,step3_only_or_nested,RESULT_FILE_VERIFIED
ft_rag,llama3.2_3b_lora_sft_20epochs_deepseekr1_prompt2,ft_rag/llama3.2_3b_lora_sft_20epochs_deepseekr1_prompt2,0,0,1,1,0,llama3.2_3b_lora_sft_20epochs_deepseekr1,513,0,513,0,0.0,1.0,0.0,step3_only_or_nested,RESULT_FILE_VERIFIED
ft_rag,prompt2/llama3.2_3b_lora_sft_20epochs_round1,ft_rag/prompt2/llama3.2_3b_lora_sft_20epochs_round1,0,0,1,1,0,llama3.2_3b_lora_sft_20epochs,513,82,109,322,0.16,0.21,0.63,step3_only_or_nested,RESULT_FILE_VERIFIED
ft_rag,prompt2/llama3.2_3b_lora_sft_20epochs_round2,ft_rag/prompt2/llama3.2_3b_lora_sft_20epochs_round2,0,0,1,1,0,llama3.2_3b_lora_sft_20epochs,513,82,109,322,0.16,0.21,0.63,step3_only_or_nested,RESULT_FILE_VERIFIED
ft_rag,prompt2/llama3.2_3b_lora_sft_20epochs_round3,ft_rag/prompt2/llama3.2_3b_lora_sft_20epochs_round3,0,0,1,1,0,llama3.2_3b_lora_sft_20epochs,513,82,109,322,0.16,0.21,0.63,step3_only_or_nested,RESULT_FILE_VERIFIED
ft_rag,prompt2/llama3_8b_lora_sft_15epochs_round1,ft_rag/prompt2/llama3_8b_lora_sft_15epochs_round1,0,0,1,1,0,llama3_8b_lora_sft_15epochs,513,166,87,260,0.32,0.17,0.51,step3_only_or_nested,RESULT_FILE_VERIFIED
ft_rag,prompt2/llama3_8b_lora_sft_15epochs_round2,ft_rag/prompt2/llama3_8b_lora_sft_15epochs_round2,0,0,1,1,0,llama3_8b_lora_sft_15epochs,513,166,87,260,0.32,0.17,0.51,step3_only_or_nested,RESULT_FILE_VERIFIED
ft_rag,prompt2/llama3_8b_lora_sft_15epochs_round3,ft_rag/prompt2/llama3_8b_lora_sft_15epochs_round3,0,0,1,1,0,llama3_8b_lora_sft_15epochs,513,180,82,251,0.35,0.16,0.49,step3_only_or_nested,RESULT_FILE_VERIFIED
