parent,dependency,specifier,environment_marker,extra,source,resolution_status
torch==1.13.1,typing-extensions,,,,pypi_torch_1.13.1,TRANSITIVE_METADATA_KNOWN
torch==1.13.1,nvidia-cuda-runtime-cu11,(==11.7.99),"platform_system == ""Linux""",,pypi_torch_1.13.1,TRANSITIVE_METADATA_KNOWN
torch==1.13.1,nvidia-cudnn-cu11,(==8.5.0.96),"platform_system == ""Linux""",,pypi_torch_1.13.1,TRANSITIVE_METADATA_KNOWN
torch==1.13.1,nvidia-cublas-cu11,(==11.10.3.66),"platform_system == ""Linux""",,pypi_torch_1.13.1,TRANSITIVE_METADATA_KNOWN
torch==1.13.1,nvidia-cuda-nvrtc-cu11,(==11.7.99),"platform_system == ""Linux""",,pypi_torch_1.13.1,TRANSITIVE_METADATA_KNOWN
torch==1.13.1,opt-einsum,(>=3.3),extra == 'opt-einsum',,pypi_torch_1.13.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,filelock,,,,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,huggingface-hub,"(<1.0,>=0.10.0)",,,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,numpy,(>=1.17),,,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,packaging,(>=20.0),,,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,pyyaml,(>=5.1),,,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,regex,(!=2019.12.17),,,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,requests,,,,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,tokenizers,"(!=0.11.3,<0.14,>=0.11.1)",,,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,tqdm,(>=4.27),,,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,importlib-metadata,,"python_version < ""3.8""",,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,accelerate,(>=0.10.0),extra == 'accelerate',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,tensorflow,"(<2.11,>=2.4)",extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,onnxconverter-common,,extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,tf2onnx,,extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,tensorflow-text,,extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,keras-nlp,(>=0.3.1),extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,torch,"(!=1.12.0,>=1.7)",extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,jax,"(!=0.3.2,<=0.3.6,>=0.2.8)",extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,jaxlib,"(<=0.3.6,>=0.1.65)",extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,flax,(>=0.4.1),extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,optax,(>=0.0.8),extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,sentencepiece,"(!=0.1.92,>=0.1.91)",extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,protobuf,(<=3.20.2),extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,tokenizers,"(!=0.11.3,<0.14,>=0.11.1)",extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,torchaudio,,extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,librosa,,extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,pyctcdecode,(>=0.4.0),extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,phonemizer,,extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,kenlm,,extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,Pillow,,extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,optuna,,extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,ray,,extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,sigopt,,extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,timm,,extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,codecarbon,(==1.2.0),extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,accelerate,(>=0.10.0),extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,librosa,,extra == 'audio',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,pyctcdecode,(>=0.4.0),extra == 'audio',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,phonemizer,,extra == 'audio',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,kenlm,,extra == 'audio',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,codecarbon,(==1.2.0),extra == 'codecarbon',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,deepspeed,(>=0.6.5),extra == 'deepspeed',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,accelerate,(>=0.10.0),extra == 'deepspeed',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,deepspeed,(>=0.6.5),extra == 'deepspeed-testing',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,accelerate,(>=0.10.0),extra == 'deepspeed-testing',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,pytest,,extra == 'deepspeed-testing',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,pytest-xdist,,extra == 'deepspeed-testing',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,timeout-decorator,,extra == 'deepspeed-testing',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,parameterized,,extra == 'deepspeed-testing',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,psutil,,extra == 'deepspeed-testing',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,datasets,(!=2.5.0),extra == 'deepspeed-testing',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,dill,(<0.3.5),extra == 'deepspeed-testing',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,evaluate,(>=0.2.0),extra == 'deepspeed-testing',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,pytest-timeout,,extra == 'deepspeed-testing',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,black,(==22.3),extra == 'deepspeed-testing',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,sacrebleu,"(<2.0.0,>=1.4.12)",extra == 'deepspeed-testing',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,rouge-score,"(!=0.0.7,!=0.0.8,!=0.1,!=0.1.1)",extra == 'deepspeed-testing',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,nltk,,extra == 'deepspeed-testing',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,GitPython,(<3.1.19),extra == 'deepspeed-testing',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,hf-doc-builder,(>=0.3.0),extra == 'deepspeed-testing',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,protobuf,(<=3.20.2),extra == 'deepspeed-testing',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,sacremoses,,extra == 'deepspeed-testing',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,rjieba,,extra == 'deepspeed-testing',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,safetensors,(>=0.2.1),extra == 'deepspeed-testing',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,beautifulsoup4,,extra == 'deepspeed-testing',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,faiss-cpu,,extra == 'deepspeed-testing',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,cookiecutter,(==1.7.3),extra == 'deepspeed-testing',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,optuna,,extra == 'deepspeed-testing',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,tensorflow,"(<2.11,>=2.4)",extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,onnxconverter-common,,extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,tf2onnx,,extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,tensorflow-text,,extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,keras-nlp,(>=0.3.1),extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,torch,"(!=1.12.0,>=1.7)",extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,jax,"(!=0.3.2,<=0.3.6,>=0.2.8)",extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,jaxlib,"(<=0.3.6,>=0.1.65)",extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,flax,(>=0.4.1),extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,optax,(>=0.0.8),extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,sentencepiece,"(!=0.1.92,>=0.1.91)",extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,protobuf,(<=3.20.2),extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,tokenizers,"(!=0.11.3,<0.14,>=0.11.1)",extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,torchaudio,,extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,librosa,,extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,pyctcdecode,(>=0.4.0),extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,phonemizer,,extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,kenlm,,extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,Pillow,,extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,optuna,,extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,ray,,extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,sigopt,,extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,timm,,extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,codecarbon,(==1.2.0),extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,accelerate,(>=0.10.0),extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,pytest,,extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,pytest-xdist,,extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,timeout-decorator,,extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,parameterized,,extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,psutil,,extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,datasets,(!=2.5.0),extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,dill,(<0.3.5),extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,evaluate,(>=0.2.0),extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,pytest-timeout,,extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,black,(==22.3),extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,sacrebleu,"(<2.0.0,>=1.4.12)",extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,rouge-score,"(!=0.0.7,!=0.0.8,!=0.1,!=0.1.1)",extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,nltk,,extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,GitPython,(<3.1.19),extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,hf-doc-builder,(>=0.3.0),extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,sacremoses,,extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,rjieba,,extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,safetensors,(>=0.2.1),extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,beautifulsoup4,,extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,faiss-cpu,,extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,cookiecutter,(==1.7.3),extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,isort,(>=5.5.4),extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,flake8,(>=3.8.3),extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,fugashi,(>=1.0),extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,ipadic,"(<2.0,>=1.0.0)",extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,unidic-lite,(>=1.0.7),extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,unidic,(>=1.0.2),extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,sudachipy,(>=0.6.6),extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,sudachidict-core,(>=20220729),extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,pyknp,(>=0.6.1),extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,hf-doc-builder,,extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,scikit-learn,,extra == 'dev',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,pytest,,extra == 'dev-tensorflow',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,pytest-xdist,,extra == 'dev-tensorflow',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,timeout-decorator,,extra == 'dev-tensorflow',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,parameterized,,extra == 'dev-tensorflow',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,psutil,,extra == 'dev-tensorflow',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
